# S/F, spinT0,T1,T2,
0, 01, -1, 1, 
0, 1-1, -1, 1, 
0, 2-1, -1, -1, 
0, 31, -1, 1, 
0, 41, 1, -1, 
0, 5-1, 1, -1, 
0, 6-1, 1, 1, 
0, 71, -1, -1, 
0, 8-1, -1, -1, 
0, 9-1, -1, 1, 
0, 10-1, 1, -1, 
0, 111, -1, 1, 
0, 121, 1, -1, 
0, 131, -1, -1, 
0, 141, -1, 1, 
0, 15-1, 1, -1, 
0, 161, -1, -1, 
0, 171, -1, 1, 
0, 18-1, -1, 1, 
0, 19-1, -1, -1, 
0, 20-1, 1, 1, 
0, 211, 1, 1, 
0, 221, -1, 1, 
0, 231, 1, 1, 
0, 241, -1, 1, 
0, 25-1, 1, -1, 
0, 26-1, -1, -1, 
0, 27-1, -1, -1, 
0, 281, 1, 1, 
0, 29-1, 1, -1, 
0, 30-1, 1, -1, 
0, 31-1, 1, -1, 
0, 321, 1, 1, 
0, 33-1, -1, 1, 
0, 341, -1, -1, 
0, 351, -1, -1, 
0, 36-1, 1, 1, 
0, 37-1, 1, 1, 
0, 381, -1, -1, 
0, 391, -1, -1, 
0, 40-1, 1, 1, 
0, 411, -1, 1, 
0, 42-1, -1, -1, 
0, 43-1, 1, 1, 
0, 44-1, 1, 1, 
0, 451, -1, 1, 
0, 46-1, 1, -1, 
0, 47-1, 1, -1, 
0, 481, 1, -1, 
0, 491, 1, -1, 
0, 50-1, -1, 1, 
0, 51-1, 1, -1, 
0, 52-1, -1, 1, 
0, 531, -1, 1, 
0, 54-1, 1, -1, 
0, 55-1, 1, 1, 
0, 56-1, 1, 1, 
0, 57-1, -1, -1, 
0, 581, -1, 1, 
0, 59-1, 1, 1, 
0, 601, 1, 1, 
0, 611, 1, -1, 
0, 62-1, -1, 1, 
0, 63-1, -1, 1, 
0, 64-1, 1, 1, 
0, 65-1, 1, -1, 
0, 66-1, 1, 1, 
0, 67-1, -1, 1, 
0, 68-1, -1, -1, 
0, 691, 1, 1, 
0, 70-1, 1, 1, 
0, 711, -1, 1, 
0, 72-1, -1, 1, 
0, 73-1, 1, 1, 
0, 741, 1, 1, 
0, 75-1, 1, 1, 
0, 76-1, -1, 1, 
0, 77-1, -1, 1, 
