# Temperature, Energy, Energy Error, Entropy, Entropy Error, Free Energy, Free Energy Error, Heat Capacity
0.500000, -0.945181, 0.326960, -nan, -nan, -nan, -nan, 0.427612
 0.600000, -0.915677, 0.342282, -nan, -nan, -nan, -nan, 0.325436
 0.700000, -0.886578, 0.485861, -nan, -nan, -nan, -nan, 0.481757
 0.800000, -0.835410, 0.615826, 0.274445, 0.071945, -1.055471, 0.007735, 0.592566
 0.900000, -0.801863, 0.654358, 0.313986, 0.070896, -1.085024, 0.008085, 0.528623
 1.000000, -0.753244, 0.649730, 0.366425, 0.063355, -1.119027, 0.007549, 0.422150
 1.100000, -0.716320, 0.723110, 0.401013, 0.064765, -1.157313, 0.008966, 0.432139
 1.200000, -0.673190, 0.705689, 0.439120, 0.057985, -1.200103, 0.008998, 0.345831
 1.300000, -0.644975, 0.785705, 0.460648, 0.061172, -1.244109, 0.011428, 0.365285
 1.400000, -0.612383, 0.837822, 0.484735, 0.060341, -1.290846, 0.012743, 0.358136
 1.500000, -0.578976, 0.802696, 0.508413, 0.053612, -1.341579, 0.011058, 0.286365
 1.600000, -0.549389, 0.843511, 0.527464, 0.052960, -1.393908, 0.012675, 0.277934
 1.700000, -0.519771, 0.829753, 0.545495, 0.048257, -1.447162, 0.012149, 0.238232
 1.800000, -0.500670, 0.840945, 0.556295, 0.047050, -1.502235, 0.012996, 0.218268
 1.900000, -0.476190, 0.923191, 0.568816, 0.048283, -1.557271, 0.015722, 0.236089
 2.000000, -0.458710, 0.874936, 0.578282, 0.043983, -1.615872, 0.014508, 0.191378
 2.100000, -0.441342, 0.896805, 0.586678, 0.043283, -1.673760, 0.015980, 0.182372
 2.200000, -0.420464, 0.940315, 0.595966, 0.042990, -1.732377, 0.017335, 0.182684
 2.300000, -0.405898, 0.911307, 0.602782, 0.039686, -1.792687, 0.017102, 0.156991
 2.400000, -0.386301, 0.947436, 0.610784, 0.039055, -1.852624, 0.018540, 0.155839
 2.500000, -0.373047, 0.915780, 0.616352, 0.036903, -1.914476, 0.017639, 0.134185
 2.600000, -0.368321, 0.928166, 0.618171, 0.036489, -1.974965, 0.019558, 0.127440
 2.700000, -0.351077, 0.911722, 0.625027, 0.034023, -2.039251, 0.019006, 0.114024
 2.800000, -0.333803, 0.940118, 0.630881, 0.033497, -2.100591, 0.020490, 0.112732
 2.900000, -0.327421, 0.925869, 0.633224, 0.032507, -2.163726, 0.020268, 0.101930
 
